bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,zipcode,lat,long,neighborhood_avg_sqft,sqft_lot15,sale_year,yr_since_renovated,log_price,is_renovated,house_age,house_age_bin,basement_ratio,above_ratio,lot_living_ratio
4,2.0,2360,6000,2.0,0,0,4,8,2360,0,1904,98107,47.6702,-122.362,1730,4700,2014,,13.369225017834633,0,110,>100 yrs,0.0,1.0,2.542372881355932
4,1.0,1220,8075,1.0,0,0,2,7,890,330,1969,98001,47.3341,-122.282,1290,7800,2015,,12.388398368982115,0,46,20–50 yrs,0.27049180327868855,0.7295081967213115,6.618852459016393
4,2.5,2620,7553,2.0,0,0,3,8,2620,0,1996,98056,47.5301,-122.18,2620,11884,2014,,13.312985389904174,0,18,<20 yrs,0.0,1.0,2.882824427480916
4,2.5,2570,5520,2.0,0,0,3,9,2570,0,2000,98074,47.6145,-122.027,2470,5669,2014,,13.345508528717259,0,14,<20 yrs,0.0,1.0,2.1478599221789882
4,2.25,4220,24186,1.0,0,0,3,8,2600,1620,1984,98166,47.445,-122.347,2410,30617,2014,,13.560619598657233,0,30,20–50 yrs,0.38388625592417064,0.6161137440758294,5.731279620853081
5,2.75,3595,5639,2.0,0,0,3,9,3595,0,2014,98053,47.6848,-122.016,3625,5639,2014,,13.667000108756058,0,0,,0.0,1.0,1.568567454798331
3,1.0,1570,2280,2.0,0,0,3,7,1570,0,1922,98119,47.6413,-122.364,1580,2640,2014,,13.437175577097312,0,92,50–100 yrs,0.0,1.0,1.4522292993630572
3,1.0,1280,9656,1.0,0,0,4,6,920,360,1959,98058,47.4485,-122.175,1340,8808,2014,,12.6410997921206,0,55,50–100 yrs,0.28125,0.71875,7.54375
3,2.5,3160,13603,2.0,0,0,3,8,3160,0,2003,98019,47.7443,-121.977,3050,9232,2014,,13.098072734013513,0,11,<20 yrs,0.0,1.0,4.304746835443038
3,1.0,990,8528,1.0,0,0,3,6,990,0,1966,98023,47.3066,-122.371,1228,8840,2015,,12.257198175846119,0,49,20–50 yrs,0.0,1.0,8.614141414141415
4,2.5,2290,13416,2.0,0,0,4,9,2290,0,1981,98007,47.6194,-122.151,2680,13685,2014,,13.573440270649085,0,33,20–50 yrs,0.0,1.0,5.858515283842795
3,1.75,1250,5963,1.0,0,0,4,7,1250,0,1953,98115,47.6796,-122.301,970,5100,2015,,13.017005083966255,0,62,50–100 yrs,0.0,1.0,4.7704
3,2.5,2753,65005,1.0,1,2,5,9,2165,588,1953,98070,47.4041,-122.451,2680,72513,2015,,14.115615891155079,0,62,50–100 yrs,0.21358517980385033,0.7864148201961496,23.61242281147839
3,1.0,1190,9199,1.0,0,0,3,7,1190,0,1955,98148,47.4258,-122.322,1190,9364,2014,,12.337105293891872,0,59,50–100 yrs,0.0,1.0,7.730252100840336
5,2.5,3150,9134,1.0,0,0,4,8,1640,1510,1966,98056,47.4934,-122.189,1990,9133,2015,,12.75130259456002,0,49,20–50 yrs,0.4793650793650794,0.5206349206349207,2.89968253968254
3,1.75,1410,4080,1.0,0,0,4,7,1000,410,1950,98117,47.6808,-122.384,1410,4080,2014,,13.304686600863562,0,64,50–100 yrs,0.2907801418439716,0.7092198581560284,2.893617021276596
2,1.75,1980,8550,1.0,0,0,3,7,990,990,1981,98117,47.6989,-122.369,1480,6738,2015,,13.279368835614243,0,34,20–50 yrs,0.5,0.5,4.318181818181818
5,2.25,2730,6000,1.5,0,0,3,8,2130,600,1927,98105,47.6571,-122.281,2730,6000,2015,,13.732130035981154,0,88,50–100 yrs,0.21978021978021978,0.7802197802197802,2.197802197802198
4,2.5,2830,5000,2.0,0,0,3,9,2830,0,1995,98105,47.6597,-122.29,1950,5000,2014,,13.69334405393293,0,19,<20 yrs,0.0,1.0,1.7667844522968197
4,2.5,2250,4495,2.0,0,0,3,7,2250,0,2008,98042,47.3663,-122.114,2250,4500,2014,,12.586223364451623,0,6,<20 yrs,0.0,1.0,1.9977777777777779
3,2.5,2420,4750,2.0,0,0,3,8,2420,0,2003,98042,47.3663,-122.122,2690,4750,2015,,12.614868865984631,0,12,<20 yrs,0.0,1.0,1.962809917355372
5,3.25,3250,14342,2.0,0,4,4,8,3250,0,1968,98008,47.588,-122.116,2960,11044,2014,,13.765270393051685,0,46,20–50 yrs,0.0,1.0,4.412923076923077
4,3.0,1850,9976,2.0,0,0,3,8,1850,0,1991,98059,47.5059,-122.149,2270,8542,2015,,12.971542813248437,0,24,20–50 yrs,0.0,1.0,5.392432432432432
3,2.25,2150,21235,1.0,0,3,4,8,1590,560,1959,98166,47.4336,-122.339,2570,18900,2014,,13.384729180332174,0,55,50–100 yrs,0.26046511627906976,0.7395348837209302,9.876744186046512
3,1.75,1260,8400,1.0,0,0,3,7,1260,0,1954,98148,47.4366,-122.335,1290,8750,2014,,12.574185427296195,0,60,50–100 yrs,0.0,1.0,6.666666666666667
3,1.75,2519,8690,2.0,0,0,5,8,2519,0,1973,98166,47.4428,-122.344,2500,9500,2014,,13.132315688453556,0,41,20–50 yrs,0.0,1.0,3.449781659388646
3,1.75,1540,1044,3.0,0,0,3,8,1540,0,2014,98115,47.6765,-122.32,1580,3090,2014,,13.215855541983634,0,0,,0.0,1.0,0.6779220779220779
3,2.25,1660,6000,1.0,0,0,3,7,1110,550,1979,98122,47.6113,-122.297,1440,4080,2014,,12.959846800844963,0,35,20–50 yrs,0.3313253012048193,0.6686746987951807,3.6144578313253013
3,2.75,2770,3809,1.5,0,0,5,7,1770,1000,1925,98144,47.5747,-122.304,1440,4000,2014,,12.668629868984294,0,89,50–100 yrs,0.36101083032490977,0.6389891696750902,1.3750902527075812
4,2.5,2720,11049,2.0,0,0,3,10,2720,0,1989,98004,47.5815,-122.192,2750,11049,2014,,13.790193775620484,0,25,20–50 yrs,0.0,1.0,4.062132352941177
4,2.5,2240,4648,2.0,0,0,3,7,2240,0,2005,98001,47.3378,-122.257,2221,4557,2014,,12.567240979056246,0,9,<20 yrs,0.0,1.0,2.075
3,1.0,1000,12070,1.0,0,0,4,7,1000,0,1968,98042,47.3621,-122.11,1010,12635,2014,,12.225880174775122,0,46,20–50 yrs,0.0,1.0,12.07
5,2.25,3200,20158,1.0,0,0,3,8,1600,1600,1965,98004,47.6303,-122.215,3390,20158,2014,,14.096923772119156,0,49,20–50 yrs,0.5,0.5,6.299375
5,3.25,4770,50094,1.0,0,0,4,11,3070,1700,1973,98005,47.6525,-122.16,3530,38917,2014,,13.854732232655556,0,41,20–50 yrs,0.35639412997903563,0.6436058700209644,10.50188679245283
3,2.0,1260,5612,1.0,0,0,4,7,1260,0,1972,98034,47.7362,-122.179,1640,4745,2015,,12.691583538230217,0,43,20–50 yrs,0.0,1.0,4.453968253968254
4,2.0,2750,7807,1.5,0,0,5,7,2250,500,1916,98125,47.7168,-122.287,1510,7807,2014,,13.255146239950099,0,98,50–100 yrs,0.18181818181818182,0.8181818181818182,2.838909090909091
4,2.5,2380,5000,2.0,0,0,3,8,2380,0,2005,98038,47.3608,-122.036,2420,5000,2014,,12.793862088206213,0,9,<20 yrs,0.0,1.0,2.100840336134454
3,1.75,1790,50529,1.0,0,0,5,7,1090,700,1965,98042,47.3511,-122.073,1940,50529,2015,,12.762830066509972,0,50,20–50 yrs,0.39106145251396646,0.6089385474860335,28.228491620111733
4,4.0,3430,35102,2.0,0,0,4,10,2390,1040,1986,98075,47.5822,-121.987,3240,35020,2014,,13.632189702037216,0,28,20–50 yrs,0.3032069970845481,0.6967930029154519,10.233819241982507
4,1.75,1760,7300,1.0,0,0,3,7,880,880,1956,98008,47.6034,-122.125,1680,7500,2014,,12.847929163278053,0,58,50–100 yrs,0.5,0.5,4.1477272727272725
3,1.0,1040,5060,1.0,0,0,3,7,1040,0,1941,98116,47.5636,-122.394,890,5060,2015,,13.081543466215237,0,74,50–100 yrs,0.0,1.0,4.865384615384615
3,1.0,1410,5060,1.0,0,0,4,7,910,500,1956,98133,47.7073,-122.34,1130,5693,2014,,12.923914877701906,0,58,50–100 yrs,0.3546099290780142,0.6453900709219859,3.5886524822695036
4,2.5,3450,39683,2.0,0,0,3,10,3450,0,2002,98010,47.342,-122.025,3350,39750,2015,,13.487007879880162,0,13,<20 yrs,0.0,1.0,11.50231884057971
3,2.5,2350,5100,2.0,0,0,3,8,2350,0,2003,98038,47.3512,-122.008,2350,5363,2014,,12.873904582205107,0,11,<20 yrs,0.0,1.0,2.1702127659574466
4,2.5,1900,5889,2.0,0,0,3,7,1900,0,1992,98038,47.349,-122.031,1870,6405,2014,,12.793862088206213,0,22,20–50 yrs,0.0,1.0,3.099473684210526
2,1.0,2020,6720,1.0,0,0,3,7,1010,1010,1948,98118,47.5474,-122.291,1720,6720,2014,,12.779875885354993,0,66,50–100 yrs,0.5,0.5,3.3267326732673266
3,1.5,1680,8712,1.0,0,0,3,8,1680,0,1964,98059,47.4811,-122.149,1850,8797,2015,,12.782688818818986,0,51,50–100 yrs,0.0,1.0,5.185714285714286
3,1.0,960,6634,1.0,0,0,3,6,960,0,1952,98125,47.7264,-122.31,1570,7203,2014,,12.660331092405906,0,62,50–100 yrs,0.0,1.0,6.910416666666666
3,1.5,2140,3600,2.0,0,0,3,9,1900,240,1925,98119,47.6337,-122.365,2020,4800,2014,,13.753636218075409,0,89,50–100 yrs,0.11214953271028037,0.8878504672897196,1.6822429906542056
5,2.25,2660,8400,1.5,0,0,5,7,2660,0,1961,98092,47.2909,-122.189,1590,8165,2014,,12.628070334272698,0,53,50–100 yrs,0.0,1.0,3.1578947368421053
3,3.25,2770,6278,2.0,0,0,3,9,1980,790,2006,98056,47.5228,-122.199,1900,7349,2014,,13.04115549117383,0,8,<20 yrs,0.2851985559566787,0.7148014440433214,2.266425992779783
2,2.25,1610,2040,2.0,0,0,4,7,1610,0,1979,98056,47.518,-122.194,1950,2025,2014,,12.278397958261774,0,35,20–50 yrs,0.0,1.0,1.2670807453416149
2,1.75,1030,1066,2.0,0,0,3,7,765,265,2006,98136,47.5394,-122.387,1030,1106,2014,,12.721888795877375,0,8,<20 yrs,0.25728155339805825,0.7427184466019418,1.0349514563106796
4,2.5,1980,7403,2.0,0,0,3,7,1980,0,1988,98023,47.2897,-122.372,1980,7510,2014,,12.40287632827253,0,26,20–50 yrs,0.0,1.0,3.738888888888889
5,2.75,3520,6353,2.0,0,0,4,10,3520,0,2001,98199,47.6506,-122.391,2520,6250,2015,,13.910712550098342,0,14,<20 yrs,0.0,1.0,1.8048295454545455
3,1.0,1200,10500,1.0,0,0,3,7,1200,0,1962,98023,47.322,-122.351,1350,10500,2015,,11.938199736300925,0,53,50–100 yrs,0.0,1.0,8.75
3,1.5,1580,5000,1.0,0,0,3,8,1290,290,1939,98117,47.687,-122.386,1570,4500,2014,,12.971542813248437,0,75,50–100 yrs,0.18354430379746836,0.8164556962025317,3.1645569620253164
3,1.5,1580,5000,1.0,0,0,3,8,1290,290,1939,98117,47.687,-122.386,1570,4500,2014,,13.45883704259595,0,75,50–100 yrs,0.18354430379746836,0.8164556962025317,3.1645569620253164
4,2.5,3300,10250,1.0,0,0,3,7,2390,910,1946,98040,47.5873,-122.249,1950,6045,2014,23.0,13.715691327653829,1,68,50–100 yrs,0.27575757575757576,0.7242424242424242,3.106060606060606
3,1.75,1960,15681,1.0,0,0,3,7,1960,0,1967,98032,47.3576,-122.277,1750,15616,2015,,12.419169901386761,0,48,20–50 yrs,0.0,1.0,8.000510204081632
4,1.5,1160,6400,1.0,0,0,4,7,1160,0,1975,98023,47.3036,-122.378,1160,6400,2014,,12.201065128819632,0,39,20–50 yrs,0.0,1.0,5.517241379310345
3,1.75,1810,41800,1.0,0,0,5,7,1210,600,1980,98038,47.4109,-121.958,1650,135036,2014,,12.657151449598695,0,34,20–50 yrs,0.3314917127071823,0.6685082872928176,23.093922651933703
3,2.5,2320,36847,2.0,0,2,3,9,2320,0,1992,98045,47.4838,-121.714,2550,35065,2014,,12.988834270491479,0,22,20–50 yrs,0.0,1.0,15.882327586206896
3,2.5,2070,13241,1.5,0,0,5,9,1270,800,1910,98102,47.6415,-122.315,2200,4500,2014,,13.653968797939685,0,104,>100 yrs,0.3864734299516908,0.6135265700483091,6.396618357487923
3,2.0,1980,3478,1.5,0,0,4,7,1440,540,1929,98117,47.6775,-122.372,1610,3478,2014,,13.22672519452875,0,85,50–100 yrs,0.2727272727272727,0.7272727272727273,1.7565656565656567
3,2.25,2190,107593,2.0,0,0,4,8,2190,0,1983,98077,47.7731,-122.08,2570,47777,2014,,13.458765611575428,0,31,20–50 yrs,0.0,1.0,49.12922374429224
3,2.5,2920,8113,2.0,0,0,3,8,2920,0,1950,98004,47.5814,-122.196,2370,8113,2014,4.0,13.89985262551525,1,64,50–100 yrs,0.0,1.0,2.7784246575342464
3,1.0,1210,33919,1.0,0,0,3,7,1210,0,1954,98058,47.4375,-122.184,1640,14910,2014,,12.577639650232573,0,60,50–100 yrs,0.0,1.0,28.03223140495868
3,2.5,2340,10005,1.0,0,0,4,8,1460,880,1978,98058,47.4431,-122.133,2250,8162,2015,,12.834683971615659,0,37,20–50 yrs,0.37606837606837606,0.6239316239316239,4.2756410256410255
3,1.0,1670,4005,1.5,0,0,4,7,1170,500,1939,98117,47.6878,-122.38,1240,4005,2014,,13.038983942375959,0,75,50–100 yrs,0.2994011976047904,0.7005988023952096,2.3982035928143715
2,1.75,1240,2493,1.0,0,0,4,8,1240,0,1985,98198,47.3813,-122.322,1270,4966,2014,,12.146858590895919,0,29,20–50 yrs,0.0,1.0,2.0104838709677417
4,2.5,3140,28037,2.0,0,0,4,10,3140,0,1991,98077,47.7304,-122.082,2990,35001,2015,,13.429849547739444,0,24,20–50 yrs,0.0,1.0,8.928980891719744
5,1.75,2030,12342,2.0,0,0,4,7,2030,0,1942,98052,47.6417,-122.109,2500,9433,2014,,13.060490101343552,0,72,50–100 yrs,0.0,1.0,6.079802955665024
4,2.5,2310,9624,2.0,0,0,3,8,2310,0,1984,98027,47.5386,-122.053,1940,9636,2014,,13.300929558259364,0,30,20–50 yrs,0.0,1.0,4.166233766233766
3,1.75,1260,3328,1.0,0,0,5,6,700,560,1905,98103,47.6823,-122.349,1380,3536,2015,,13.25339339419516,0,110,>100 yrs,0.4444444444444444,0.5555555555555556,2.641269841269841
3,1.75,1540,12600,1.0,0,0,4,7,1160,380,1980,98038,47.3624,-122.031,1540,11656,2014,,12.515397562803473,0,34,20–50 yrs,0.24675324675324675,0.7532467532467533,8.181818181818182
3,1.75,2080,5969,1.0,0,2,3,7,1080,1000,1971,98108,47.5474,-122.295,2090,5500,2014,,12.706699437569211,0,43,20–50 yrs,0.4807692307692308,0.5192307692307693,2.8697115384615386
4,2.5,3230,16171,2.0,0,3,3,9,2520,710,2001,98001,47.3183,-122.253,2640,8517,2014,,13.081543466215237,0,13,<20 yrs,0.21981424148606812,0.7801857585139319,5.006501547987616
3,3.5,4380,6350,2.0,0,0,3,8,2780,1600,1900,98117,47.6981,-122.368,1830,6350,2014,15.0,13.51508226312797,1,114,>100 yrs,0.365296803652968,0.634703196347032,1.4497716894977168
3,3.5,1590,1102,3.0,0,0,3,8,1590,0,2010,98103,47.6824,-122.347,1620,3166,2014,,13.158697235290168,0,4,<20 yrs,0.0,1.0,0.6930817610062893
2,1.0,880,6780,1.0,0,0,4,6,880,0,1945,98178,47.5009,-122.248,1190,6780,2014,,12.232841150744216,0,69,50–100 yrs,0.0,1.0,7.704545454545454
4,2.0,1570,9600,1.0,0,0,3,6,1570,0,1950,98168,47.4965,-122.303,1880,9000,2015,,12.054092109237121,0,65,50–100 yrs,0.0,1.0,6.114649681528663
4,1.0,1610,2982,1.5,0,0,4,7,1610,0,1925,98144,47.587,-122.294,1610,4040,2015,,13.190023895035274,0,90,50–100 yrs,0.0,1.0,1.8521739130434782
3,2.5,2400,6474,1.0,0,2,3,8,1560,840,1964,98177,47.7728,-122.386,2340,10856,2015,,13.399996629152975,0,51,50–100 yrs,0.35,0.65,2.6975
3,2.0,1450,9132,1.0,0,0,3,7,1450,0,1987,98034,47.7288,-122.226,1580,9104,2014,,12.87774334868815,0,27,20–50 yrs,0.0,1.0,6.297931034482759
2,1.0,770,6000,1.0,0,0,3,6,770,0,1953,98117,47.6999,-122.364,1710,6000,2015,,12.886643575525625,0,62,50–100 yrs,0.0,1.0,7.792207792207792
4,1.75,2100,4400,1.5,0,0,5,7,1720,380,1924,98118,47.5299,-122.266,1850,4400,2014,,13.005831808336863,0,90,50–100 yrs,0.18095238095238095,0.819047619047619,2.0952380952380953
3,2.25,2910,10204,2.0,0,0,3,9,2910,0,1990,98052,47.6897,-122.098,2700,13992,2014,,13.554147092530322,0,24,20–50 yrs,0.0,1.0,3.506529209621993
4,2.75,2750,17789,1.5,0,0,3,8,1980,770,1914,98004,47.6141,-122.212,3060,11275,2015,23.0,14.187074804051692,1,101,>100 yrs,0.28,0.72,6.468727272727273
3,2.25,2100,8201,1.0,0,2,3,8,1620,480,1967,98178,47.5091,-122.244,2660,8712,2014,,13.005831808336863,0,47,20–50 yrs,0.22857142857142856,0.7714285714285715,3.9052380952380954
4,2.25,2160,8811,1.0,0,0,3,8,1360,800,1978,98023,47.3129,-122.39,2090,8400,2014,,12.468440756144114,0,36,20–50 yrs,0.37037037037037035,0.6296296296296297,4.079166666666667
5,3.5,2320,4960,2.0,0,0,5,7,1720,600,1926,98103,47.6763,-122.352,1700,4960,2014,,13.620104977426395,0,88,50–100 yrs,0.25862068965517243,0.7413793103448276,2.1379310344827585
4,2.5,2070,4310,2.0,0,0,3,7,2070,0,2004,98065,47.5319,-121.85,1970,3748,2015,,12.971542813248437,0,11,<20 yrs,0.0,1.0,2.082125603864734
3,1.75,1060,7875,1.0,0,0,4,7,1060,0,1986,98092,47.2761,-122.152,1420,7680,2015,,12.264346270624157,0,29,20–50 yrs,0.0,1.0,7.429245283018868
4,2.25,2010,9603,1.0,0,0,3,8,1440,570,1986,98027,47.5343,-122.054,2060,9793,2015,,13.400753916947913,0,29,20–50 yrs,0.2835820895522388,0.7164179104477612,4.777611940298508
3,3.5,3950,111078,1.5,0,0,3,9,2460,1490,1989,98052,47.697,-122.072,2480,88500,2014,,13.572165574841936,0,25,20–50 yrs,0.37721518987341773,0.6227848101265823,28.121012658227848
3,2.5,2010,2287,2.0,0,0,3,8,1390,620,2014,98029,47.5517,-121.998,1690,1662,2014,,13.024192509731431,0,0,,0.30845771144278605,0.6915422885572139,1.1378109452736318
4,3.5,2140,2278,3.0,0,0,3,9,2140,0,2005,98107,47.6734,-122.38,1540,2285,2015,,13.42246945133505,0,10,<20 yrs,0.0,1.0,1.0644859813084113
3,1.75,1320,17390,1.0,0,0,4,7,1320,0,1956,98003,47.3257,-122.296,1550,19265,2014,,12.201065128819632,0,58,50–100 yrs,0.0,1.0,13.174242424242424
4,1.75,2020,7840,1.0,0,0,3,7,1010,1010,1968,98003,47.3309,-122.299,1750,8140,2014,,12.301387370778713,0,46,20–50 yrs,0.5,0.5,3.881188118811881
4,2.25,2590,10002,1.0,0,0,4,8,1340,1250,1968,98028,47.7689,-122.266,1550,10436,2014,,13.021439671201302,0,46,20–50 yrs,0.4826254826254826,0.5173745173745173,3.861776061776062
2,1.0,1190,4440,1.0,0,0,3,6,1190,0,1981,98125,47.7135,-122.287,1060,5715,2014,,12.854486546624395,0,33,20–50 yrs,0.0,1.0,3.73109243697479
3,2.25,1170,1249,3.0,0,0,3,8,1170,0,2014,98107,47.6722,-122.381,1350,1310,2014,,13.161489855348382,0,0,,0.0,1.0,1.0675213675213675
2,1.0,1110,3200,1.0,0,0,3,7,1110,0,1925,98119,47.6338,-122.358,1170,3600,2014,,13.407543823396258,0,89,50–100 yrs,0.0,1.0,2.8828828828828827
5,2.5,2820,9375,1.0,0,0,4,8,1550,1270,1968,98006,47.5707,-122.128,2820,9375,2014,,13.17628511440807,0,46,20–50 yrs,0.450354609929078,0.549645390070922,3.324468085106383
3,1.0,1610,8579,1.0,0,0,4,7,1010,600,1962,98058,47.4563,-122.171,1610,8579,2015,,12.230770136157428,0,53,50–100 yrs,0.37267080745341613,0.6273291925465838,5.328571428571428
3,1.0,1060,8097,1.0,0,0,4,7,940,120,1923,98133,47.7144,-122.351,1560,7940,2015,,12.948012371209098,0,92,50–100 yrs,0.11320754716981132,0.8867924528301887,7.638679245283019
